iter	Passed	Remaining
0	156	156074
1	169	84571
2	184	61170
3	199	49743
4	212	42370
5	227	37745
6	242	34384
7	256	31813
8	272	30015
9	288	28572
10	302	27227
11	318	26190
12	334	25381
13	352	24835
14	367	24140
15	382	23520
16	396	22944
17	411	22439
18	426	22001
19	443	21723
20	463	21596
21	477	21233
22	493	20954
23	507	20633
24	521	20352
25	536	20112
26	554	19967
27	568	19737
28	585	19590
29	599	19392
30	614	19197
31	627	18979
32	643	18852
33	658	18699
34	673	18575
35	689	18461
36	702	18280
37	716	18149
38	732	18046
39	748	17957
40	763	17851
41	781	17823
42	797	17745
43	812	17657
44	828	17580
45	846	17547
46	869	17623
47	882	17503
48	895	17387
49	911	17323
50	926	17249
51	944	17217
52	962	17199
53	976	17108
54	989	17002
55	1004	16926
56	1020	16886
57	1041	16918
58	1056	16849
59	1076	16867
60	1094	16852
61	1109	16785
62	1124	16728
63	1138	16655
64	1152	16571
65	1167	16515
66	1181	16448
67	1193	16363
68	1211	16349
69	1224	16268
70	1238	16203
71	1253	16151
72	1268	16106
73	1282	16044
74	1296	15990
75	1310	15932
76	1323	15868
77	1338	15816
78	1352	15765
79	1366	15714
80	1381	15671
81	1395	15623
82	1410	15582
83	1423	15524
84	1436	15460
85	1451	15422
86	1472	15456
87	1486	15408
88	1501	15364
89	1515	15321
90	1528	15264
91	1542	15227
92	1557	15185
93	1571	15144
94	1585	15102
95	1599	15064
96	1615	15042
97	1629	14995
98	1641	14941
99	1656	14910
100	1671	14877
101	1684	14826
102	1699	14797
103	1713	14760
104	1726	14719
105	1741	14690
106	1755	14652
107	1769	14614
108	1784	14583
109	1798	14555
110	1812	14515
111	1828	14495
112	1844	14479
113	1865	14496
114	1882	14486
115	1897	14463
116	1911	14425
117	1925	14392
118	1942	14384
119	1955	14339
120	1970	14315
121	1987	14306
122	2002	14274
123	2015	14239
124	2028	14202
125	2043	14176
126	2056	14137
127	2073	14128
128	2087	14097
129	2101	14063
130	2116	14040
131	2131	14014
132	2144	13978
133	2158	13949
134	2171	13912
135	2185	13882
136	2199	13855
137	2212	13819
138	2225	13783
139	2240	13765
140	2261	13780
141	2275	13750
142	2296	13760
143	2311	13742
144	2327	13722
145	2340	13689
146	2355	13665
147	2369	13641
148	2383	13613
149	2398	13591
150	2412	13563
151	2424	13525
152	2437	13495
153	2451	13466
154	2463	13430
155	2478	13406
156	2493	13390
157	2508	13366
158	2521	13335
159	2534	13306
160	2546	13270
161	2561	13251
162	2575	13227
163	2590	13203
164	2606	13190
165	2619	13162
166	2634	13138
167	2651	13129
168	2669	13127
169	2683	13101
170	2698	13081
171	2711	13053
172	2726	13031
173	2740	13008
174	2754	12986
175	2767	12958
176	2780	12929
177	2793	12898
178	2807	12878
179	2821	12852
180	2834	12827
181	2849	12808
182	2863	12783
183	2878	12765
184	2892	12741
185	2908	12730
186	2926	12721
187	2944	12719
188	2960	12704
189	2976	12689
190	2990	12665
191	3003	12640
192	3018	12619
193	3036	12616
194	3054	12610
195	3068	12587
196	3083	12567
197	3096	12543
198	3110	12520
199	3125	12500
200	3139	12479
201	3154	12461
202	3167	12435
203	3180	12409
204	3195	12393
205	3210	12372
206	3224	12351
207	3237	12328
208	3250	12301
209	3264	12280
210	3279	12261
211	3292	12238
212	3306	12215
213	3321	12198
214	3333	12170
215	3346	12145
216	3360	12126
217	3374	12103
218	3387	12080
219	3401	12059
220	3414	12035
221	3428	12015
222	3442	11993
223	3461	11990
224	3475	11972
225	3489	11951
226	3503	11929
227	3517	11911
228	3533	11898
229	3548	11878
230	3560	11854
231	3575	11835
232	3590	11817
233	3602	11793
234	3616	11774
235	3632	11758
236	3646	11740
237	3659	11717
238	3673	11697
239	3688	11680
240	3702	11661
241	3715	11636
242	3729	11618
243	3744	11600
244	3757	11578
245	3770	11557
246	3784	11536
247	3797	11515
248	3810	11493
249	3823	11471
250	3838	11453
251	3860	11458
252	3873	11435
253	3885	11412
254	3899	11393
255	3912	11370
256	3930	11362
257	3947	11352
258	3962	11336
259	3977	11320
260	3993	11308
261	4008	11291
262	4026	11284
263	4042	11269
264	4055	11248
265	4071	11233
266	4084	11212
267	4098	11193
268	4114	11181
269	4129	11165
270	4144	11148
271	4157	11127
272	4170	11107
273	4184	11087
274	4197	11066
275	4211	11047
276	4223	11024
277	4237	11005
278	4261	11013
279	4275	10992
280	4288	10973
281	4302	10954
282	4314	10931
283	4327	10910
284	4341	10892
285	4355	10874
286	4370	10857
287	4383	10836
288	4397	10818
289	4410	10798
290	4423	10778
291	4439	10763
292	4470	10786
293	4481	10761
294	4495	10744
295	4509	10725
296	4521	10702
297	4534	10682
298	4547	10660
299	4561	10643
300	4574	10623
301	4588	10604
302	4600	10582
303	4611	10557
304	4625	10539
305	4647	10540
306	4661	10523
307	4673	10499
308	4687	10481
309	4702	10466
310	4714	10443
311	4726	10422
312	4739	10402
313	4751	10379
314	4765	10363
315	4779	10344
316	4791	10322
317	4803	10302
318	4815	10279
319	4827	10258
320	4840	10239
321	4852	10217
322	4867	10202
323	4885	10192
324	4897	10172
325	4910	10151
326	4923	10133
